IPM Schedule for Mature Apple Plant,,,
Stage / Time,Major Problem,Organic IPM Dose,Chemical IPM Dose — Need Based
"Dormant Stage
Dec–Jan","San Jose scale, mites, canker",Pruning + orchard sanitation + Bordeaux paste on cuts,Horticulture mineral oil 2% = 2 L/100 L water
"Green Tip / Bud Break
Feb–Mar","Apple scab, canker",Trichoderma paste on pruning wounds,"Copper oxychloride 300 g/100 L water
or Mancozeb 250 g/100 L water"
"Pink Bud Stage
Mar–Apr","Powdery mildew, aphid",Neem oil 500 ml–1 L/100 L water,Wettable sulphur 250 g/100 L water for mildew
"Flowering Stage
Mar–Apr","Bee activity, scab risk",Avoid insecticide; maintain sanitation,"Avoid insecticide during full bloom;
fungicide only if needed"
"Petal Fall / Fruit Set
Apr–May","Aphid, scab, leaf miner","Neem oil 1 L/100 L water
or Beauveria 500 g/100 L water","Imidacloprid 17.8 SL 25–30 ml/100 L water for aphid;
Mancozeb 250 g/100 L water for scab"
"Fruit Development
May–June","Codling moth / fruit borer, mites","Pheromone traps 4–5/acre
+ Bt 500 g–1 kg/acre","Spinosad 45 SC 15 ml/100 L water
or Emamectin benzoate 40 g/acre"
"Fruit Enlargement
June–July","Mites, woolly aphid, leaf spot","Neem oil 1 L/100 L water
+ remove infested shoots","Propargite 57 EC 100 ml/100 L water for mites;
Difenoconazole 30 ml/100 L water for leaf spot"
"Pre-Harvest
July–Aug","Fruit rot, blotch, mites","Remove fallen fruits, maintain sanitation",Use only safe chemical with proper waiting period
"Post-Harvest
Sept–Oct","Canker, collar rot, pest carry-over",Trichoderma 50 g/tree mixed with compost,"Copper oxychloride 300 g/100 L water
if disease pressure is high"
